_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
64a5033e73193c702e23b128,,41.6,84.62,57.2,76.59,104;13;1;1,time,30,-1,1,30,0,1.35,false,false,english,none,normal,false,false,false,,1688535870000
64a5027b73193c702e23aca3,,56.38,92.02,65.18,76.87,141;8;1;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688535675000
64a5006373193c702e239f55,,54.78,93.17,64.38,80.47,137;6;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688535139000
64a4ff1873193c702e1cf53a,,49.98,85.44,63.18,82.37,125;16;2;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688534808000
64a4f4a573193c702e08d16d,,53.2,95.95,59.2,76.05,133;1;2;1,time,30,-1,1,30,0,2.44,false,false,english,none,normal,false,false,false,,1688532132000
64a4f43a73193c702e08cf35,,48,88.08,60.4,79.82,120;10;2;2,time,30,-1,1,30,0,18.87,false,false,english,none,normal,false,false,false,,1688532026000
64a4f3f573193c702e08cdb1,,54.8,92.31,62.4,82.52,137;8;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688531957000
64a4df3873193c702ee08a8e,,48.78,91.16,58.78,81.48,122;9;0;0,time,30,-1,2,30.01,0,8.85,false,false,english,none,normal,false,false,false,,1688526648000
64a4de5f73193c702ee085da,,43.99,82.78,60.38,75.68,110;18;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688526430000
64a4ddde73193c702ee0830e,,50.78,97.28,58.78,78.69,127;2;0;2,time,30,-1,1,30.01,0,1.94,false,false,english,none,normal,false,false,false,,1688526302000
64a4d27173193c702ecc60d6,,51.18,93.88,58.78,76.82,128;6;0;0,time,30,-1,3,30.01,0,25.35,false,false,english,none,normal,false,false,false,,1688523377000
64a4d09873193c702ec5b5fe,,39.6,86.86,54.8,76.22,99;10;0;3,time,30,-1,2,30,0,4.22,false,false,english,none,normal,false,false,false,,1688522904000
64a4d07273193c702ec5b525,,48,91.22,59.2,76.05,120;8;0;2,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688522866000
64a4cdfa73193c702ebf0650,,53.2,93.38,60.4,77.95,133;6;1;0,time,30,-1,2,30,0,22.58,false,false,english,none,normal,false,false,false,,1688522234000
64a4cdc073193c702ebf052c,,38.8,84.62,57.2,72.02,97;12;2;1,time,30,-1,2,30,0,31.78,false,false,english,none,normal,false,false,false,,1688522176000
64a4cd1273193c702ebf01b4,,49.18,90.07,60.38,80.48,123;10;0;0,time,30,-1,1,30.01,0,12.6,false,false,english,none,normal,false,false,false,,1688522002000
64a4ca6773193c702eb85295,,53.18,95.1,57.18,80.71,133;5;0;2,time,30,-1,1,30.01,0,6.18,false,false,english,none,normal,false,false,false,,1688521319000
64a4c88973193c702eb848b0,,53.6,98.55,55.2,80.88,134;1;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688520841000
64a453f873193c702edaf1a2,,48,89.58,57.6,68.45,120;10;1;0,time,30,-1,0,30,1,0,false,false,english,none,normal,false,false,false,,1688491000000
